lat;lon;elevacion;pendiente;orientacion;temp_max;temp_media;temp_min;precipitacion;viento_medio;racha_max;dir_viento;humedad_media;prec_acum_7d;tmax_max_7d;dias_sin_lluvia;veg_Agricola;veg_Coniferas;veg_Frondosas;veg_Matorral;veg_Pastizal;veg_Urbano_Antropizado;veg_Urbano_Otros
39,719018;-0,335729;108,0;2,66;165,42;22,3;14,9;8,1;0,0;10,5;28,8;80,0;43,0;1,3;28,7;3,0;True;False;False;False;False;False;False
39,835358;-0,117209;1,0;0,51;180,0;13,8;11,7;9,6;6,2;2,2;9,2;4,0;76,0;9,8;19,0;2,0;True;False;False;False;False;False;False
38,20495;-0,55934;44,0;2,67;258,89;31,0;26,3;20,9;0,0;14,3;34,6;120,0;64,7;0,0;32,2;7,0;False;True;False;False;False;False;False
39,321741;-0,639678;173,0;9,49;49,84;14,8;7,5;2,1;0,0;16,2;38,2;262,0;77,8;0,7;15,2;0,0;True;False;False;False;False;False;False
40,3761169739122;-0,047669757639414;610,0;3,11;240,26;28,0;22,7;16,0;1,0;9,5;35,3;334,0;54,3;10,2;31,4;0,0;True;False;False;False;False;False;False
39,492581;-1,132458;664,0;0,67;90,0;22,2;15,2;8,2;0,0;3,1;8,9;99,0;47,8;0,0;31,2;23,0;True;False;False;False;False;False;False
38,989654;-1,137738;871,0;8,81;201,9;32,3;25,6;19,9;2,2;13,7;32,8;146,0;52,7;7,0;35,4;0,0;False;True;False;False;False;False;False
39,010552;-0,290417;408,0;8,34;203,22;26,6;21,8;17,0;0,0;1,9;7,8;10,0;76,0;0,0;35,5;16,0;False;False;False;True;False;False;False
40,336153;0,362647;94,0;8,6;224,54;34,3;29,4;24,5;0,0;3,1;7,5;13,0;72,4;0,0;34,9;39,0;False;False;False;True;False;False;False
39,90581937004674;-0,9260369215181676;1205,0;4,15;255,66;24,5;16,0;8,4;0,0;9,1;22,3;5,0;42,3;0,9;24,6;4,0;False;True;False;False;False;False;False
40,1272058307521;-0,3219761454370069;859,0;2,54;127,4;13,2;7,6;2,7;0,0;14,0;34,6;303,0;55,5;0,8;21,7;1,0;False;False;False;True;False;False;False
39,034253802488045;-0,505015627966958;106,0;10,44;202,12;30,2;23,0;14,0;0,0;14,3;35,3;134,0;42,3;0,1;29,8;3,0;False;True;False;False;False;False;False
39,142970882789626;-1,202158770871102;864,0;7,16;158,36;33,8;26,4;18,8;0,0;17,5;42,1;270,0;20,8;0,5;37,1;2,0;False;True;False;False;False;False;False
39,601507;-0,712401;145,0;24,95;282,26;36,1;29,4;22,7;0,4;1,7;8,6;14,0;49,3;0,0;33,4;16,0;False;True;False;False;False;False;False
38,25827;-0,815987;179,0;6,15;180,0;33,0;26,7;21,4;0,0;14,1;35,6;85,0;51,1;0,5;31,9;5,0;False;False;False;True;False;False;False
39,43320211341504;-1,5058930821006349;514,0;5,28;218,98;28,8;21,0;13,8;0,2;18,4;43,9;272,0;43,5;0,1;32,5;0,0;False;True;False;False;False;False;False
39,58472;-0,821934;367,0;13,36;259,09;34,3;26,0;17,7;0,0;2,8;9,2;12,0;58,5;0,0;33,9;26,0;False;True;False;False;False;False;False
39,36504663244898;-1,0016972627908374;586,0;11,98;80,25;33,1;24,6;19,7;4,6;15,6;34,9;224,0;73,1;0,4;33,3;0,0;False;True;False;False;False;False;False
39,229135;-0,549964;69,0;0,84;232,24;29,8;26,0;22,3;0,0;3,3;11,1;10,0;64,0;0,0;31,0;41,0;True;False;False;False;False;False;False
38,665472;-0,210732;764,0;11,55;52,02;26,8;21,0;14,3;0,0;15,0;37,1;120,0;47,6;0,0;27,8;7,0;False;False;False;True;False;False;False
39,06957969503922;-0,3398860355671582;214,0;7,17;180,0;28,7;23,8;16,8;0,0;19,2;41,0;99,0;48,2;1,5;34,6;1,0;True;False;False;False;False;False;False
40,43188439278215;-0,3242092417317523;1345,0;8,95;103,18;15,9;10,9;6,3;0,0;13,9;38,5;150,0;51,7;0,8999999999999999;21,5;5,0;True;False;False;False;False;False;False
39,651259;-0,478611;200,0;1,03;180,0;23,9;14,8;5,7;0,0;3,3;8,6;13,0;54,7;6,4;21,2;3,0;False;True;False;False;False;False;False
39,861248725210864;-0,9671821907652598;936,0;5,73;111,0;32,8;25,7;19,2;0,0;15,7;38,5;120,0;56,6;8,200000000000001;33,2;0,0;True;False;False;False;False;False;False
38,685163;-0,259291;691,0;12,18;356,94;14,6;11,1;8,7;0,3;18,0;40,3;59,0;46,2;0,0;25,3;7,0;False;False;False;True;False;False;False
39,891086;-0,708202;977,0;11,3;264,84;31,1;23,1;15,1;0,6;1,9;9,2;10,0;64,9;0,0;34,5;16,0;False;True;False;False;False;False;False
